HARDWARE INJECTOR: 15-SIGNAL VERTICAL PIPELINE TRACE
====================================================
Testbench acts as Stream Controller, injecting 1 pixel per cycle while CPU is in reset.

Cyc | CPU_RST | Inj_ON | Mem_RE | Mem_RAddr  | Mem_WE | Mem_WAddr  | Mem_WData  | Accel_WE | V_Mul | V_Row | V_MAC | Accel_Out  | VRAM_WE | UART_Tx
C13 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x000000ff |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C14 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00888888 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C15 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00123456 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C16 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C17 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C18 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C19 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C20 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C21 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C22 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C23 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C24 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C25 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C26 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C27 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C28 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C29 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C30 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C31 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C32 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C33 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C34 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C35 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C36 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C37 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C38 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
C39 |    1    |   1    |   0    | ---------- |   1    | 0x00012024 | 0x00000000 |    1     |   1   |   1   |   1   | 0x00ffffff |    0    |   z
